,f,chi2,MATTE,NB,M3,HV,zscore,ENT
TMEM87A,8.2526264,0.007501333,0.022326187,,,,304.5076356151335,-55.505411332409395
ZNF106,63.10528589,0.060977596,1.13454628,,,,8148.725026513833,-54.725316634699624
CEP152,2.122144265,0.00157192,0.059723615,-0.001868531,,,-8445.660410886783,-46.326228262011895
ATP8B4,17.02899376,0.020164786,0.039744434,-1.52e-11,,0.0,-2427.7748493139707,-21.319065844289796
DTWD1,2.415849355,0.002180625,0.026803156,-1.3e-05,,,-23367.670114456596,-90.73406906696586
TGM5,1.714224812,0.00045009,0.0,,,,0.0,0.0
GABPB1,17.22819479,0.016085199,1.208125137,,,,-4783.173459864086,-52.10528556965087
BMF,26.60937431,0.037172934,0.293916422,,-0.006826186,0.0,3462.7217996591594,-51.66091797291821
DMXL2,176.9767115,0.21569654,0.84866003,,,0.0,-58971.10867585367,-178.63401920816432
DNAJC17,1.421645103,0.001395535,0.033470919,-3.07e-08,,,-1100.3732394550038,-54.885570089429336
EIF3J,4.309573726,0.003811555,0.357774321,,,,-5758.277337149501,-53.81247362726883
SPG11,10.98926377,0.009552583,0.754406232,,,,-31910.109252154445,-72.20228928199293
RHOV,0.657799456,0.000161954,0.0,,,,-331.8851925533612,-2.0410803025783046
VPS18,2.676379635,0.001807763,0.063602357,-4.980000000000001e-66,,,-28195.559099272286,-89.56308670181583
OIP5,0.356865117,0.000394004,0.0,-3.34e-10,,,-4658.55430659268,-36.52973789882871
SLC30A4,4.827767902,0.004619803,0.39027488,,,,-7627.386107073986,-45.423797806418996
BLOC1S6,2.458112813,0.006066078,0.61532399,,,0.0,-10286.537819352212,-52.2096768415393
MYEF2,7.687148049,0.005944422,0.062481815,-0.00194832,,,-317.3998232620704,-51.8728631831877
SGK3,6.812195001,0.006370437,0.133504193,,,,-62217.10564566338,-152.69012664482716
CSPP1,3.66012025,0.003417731,0.36353988,-0.000272353,,,-6790.403712595515,-41.593558465690506
ZDHHC2,2.539887565,0.002774496,0.319287501,,,,-706.186996959573,-59.7585248064403
BRF2,5.257777047,0.003824885,0.04861074,,,,-2387.7619545995317,-55.55281887083292
TRIM35,0.539435215,0.000667011,0.064983759,-5.04e-17,,0.0,-24169.959303524367,-71.3229367194714
ZFAND1,18.36397703,0.01764172,0.6488624,,,,-1326.3428348901255,-35.241723397088585
RP1,0.728957434,0.000321955,0.0,,,,1762.21068073144,-1.8653436865663942
CA2,380.4096208,2.158332674,0.492364231,-0.000205676,-2.73e-53,0.0,13345.065356223975,-35.14602250906271
FZD3,31.51990274,0.061319301,1.201814728,,-1.8700000000000001e-35,0.0,-21440.313260452225,-69.40370049360288
INTS9,1.290139584,0.001208925,0.027417036,-4.98e-11,,,-3171.5900206062806,-31.476439880604833
RIPK2,61.88225332,0.056527855,1.231195954,,,,-99443.05076951702,-256.80988698635826
EYA1,3.457332315,0.004594505,0.037286139,,-0.000304495,0.0,-4080.2954746437663,-43.60088375526787
NBN,8.635261268,0.008838496,0.490018199,,,,3118.9308354651803,-44.95898415931857
TRPA1,0.485858083,0.000141853,0.0,-5.18e-15,,,-1461.1116394957053,-6.006194512325427
CPQ,14.9661741,0.01840905,0.208605271,-1.52e-26,,0.0,10458.008114137185,-43.355523893752725
DECR1,6.565879607,0.00549686,0.623038223,,,,1537.2615634986646,-45.88991811865049
IMPAD1,4.298404335,0.005229336,0.036891144,,,-4.38e-15,-12586.995475985574,-50.68458973367801
LAPTM4B,8.652021978,0.010495197,0.060668401,,,0.0,-5512.571257681639,-47.728737823104574
UBE2W,10.60136372,0.008450407,0.590256757,,,,-21602.67163292924,-79.6719069487295
POP1,1.928517228,0.001529774,0.018906517,,,,3504.727262422712,-56.12320200155259
NIPAL2,8.664756584,0.004253974,0.055565599,-4.85e-06,,,-8265.050765186235,-44.20220265923031
IKBKB,7.839017806,0.005334371,0.986312319,,,,-22809.40170279808,-91.26784459560793
PLAT,6.069501507,0.002215592,0.063978387,,,,-7502.116464931952,-43.184392362365536
STK3,7.200323887,0.006006976,0.045006666,,,,-2540.4245964696224,-36.02607219877285
GDAP1,2.572089534,0.001356039,0.068986564,-2.64e-09,,,-6695.805730763075,-68.3417272982665
RAB2A,22.38469858,0.020373738,0.584970185,,,,-25716.496969787484,-78.52644255351646
EIF3E,246.973583,0.14624086,0.505172211,,,,-9429.24607722515,-36.99385329110354
EMC2,4.179793128,0.002657873,0.062515548,-6.09e-06,,,-51296.9816186031,-132.06159791771273
ESRP1,0.502062297,0.000140288,0.0,,,,-4874.904611769845,-39.1531846646711
WISP1,0.50314216,9.61e-05,0.0,,,,54.86444337692194,-1.5578534450558963
NDRG1,15.43661605,0.013826945,0.38026431,,,,-244586.8436014855,-144.86559045636068
ZC2HC1A,16.28137761,0.01245393,0.320729582,-1.51e-18,,,-6354.108073232425,-37.68878824756643
IL7,11.2470875,0.005979546,0.074420111,,,,-1690.914786687448,-9.53712650691545
ARMC1,9.085227657,0.007366379,0.41798129,,,,2144.4436638410643,-53.31910782461627
TRPS1,21.62749597,0.020474934,0.739768661,,,,-72296.79978504262,-182.91586543409343
SPAG1,3.147233112,0.00260698,0.064134945,,,,-1133.5307862812429,-30.417464306835065
CHRAC1,9.653860872,0.007732308,0.539288967,,,,-12969.476799921384,-57.00020129004384
NCALD,114.4571616,0.40379276,2.388345537,,-2.0199999999999998e-24,0.0,-7660.96187510546,-72.01874044053396
SNX16,2.2399944,0.001445511,0.046624522,,,,2966.7761952743886,-39.77967415947759
GML,1.371197754,0.00040629,0.0,-3.37e-12,,,872.6114824816261,-1.1011350930603816
UBR5,8.28308433,0.006041631,0.740768806,,,,-18652.745797234005,-65.85938162475715
GSDMD,9.198387923,0.006248051,0.914818501,,,,-7168.794221650736,-55.29838783295859
TSTA3,12.54983974,0.006938305,0.620659508,,,,6732.349954361244,-32.20978879164577
PYCRL,7.39023171,0.002448293,0.0484273,,,,-11187.074328045856,-53.646945484015376
EEF1D,189.1456038,0.137512522,1.279864057,,,,-17216.717977876804,-33.62094694941376
ANXA13,0.530651678,0.000332026,0.0,,,,-2352.850854212293,-30.833299510299177
SQLE,23.62706774,0.01845809,0.894557018,,,,-4213.014592353336,-52.834201622065684
SH2D4A,1.038453196,0.000834518,0.0,-1.72e-28,,,-2497.1959211829258,-6.945953691481066
INTS10,8.34965218,0.006232306,1.314725688,,,,-73227.35619504709,-129.62895590684536
ERI1,0.108392763,8.63e-05,0.029322579,-6.179999999999999e-48,,,5267.918340861021,-51.066181557720206
SLC39A14,1.981823924,0.000891517,0.0,-4.04e-44,,,-25344.905363986163,-66.18167800815486
MTMR9,10.70023599,0.009305198,1.75150371,,,,-57752.833753576706,-161.3367304242432
LEPROTL1,462.5083013,0.317598073,2.239340976,,,,-2118.5393775866473,-36.75934148794066
DCTN6,16.62454333,0.012349347,0.905898432,,,,-8839.311539835748,-59.47697409068546
R3HCC1,9.701053614,0.009645113,0.155504454,-1.72e-05,,,2677.6924526678195,-41.465671125605084
GSR,12.24723596,0.012361192,0.240583735,,,,-6729.372916840934,-55.156857295872
TNFRSF10A,12.69529524,0.013269231,1.374646685,,,,-7722.67896422248,-54.82751988164818
UBXN8,2.732262142,0.001406913,0.026433412,,,,-5835.648079022953,-33.947345145590035
PPP2CB,3.420973891,0.003125425,0.060524459,,,,-3014.7414679024573,-51.81977049175502
ERICH1,7.248901261,0.00600844,0.216148723,,,,-9159.118158273028,-51.711884009359544
TUSC3,0.708828515,0.000285528,0.0,,,,4249.709570317377,-8.552041617473767
ARHGEF10,14.49483765,0.018175983,0.10472832,,,0.0,-48822.11264689996,-121.87871748001908
KLHDC4,19.73379201,0.016206857,0.390480647,-0.003997786,,,-2349.4428118937344,-58.31320090883341
MCM4,2.478881816,0.001809985,0.066470308,,,,-31195.21974058374,-109.72691664407078
ADAM2,1.174334696,0.000141736,0.0,,,,0.0,0.0
KCTD9,8.792053258,0.009997388,0.227736026,,,-0.091635568,-6059.603206082654,-56.46833508984834
FGL1,1.129135802,0.000243114,0.0,,,,0.0,0.0
ASAH1,435.8969892,0.598434097,2.197340739,,-1.9099999999999999e-25,0.0,12090.05077277297,-27.25028198435151
BNIP3L,66.31871665,0.080350841,0.354583715,,,,425.72711874227775,-42.684155290291024
MAN2B1,20.0171392,0.018392983,0.430152075,-2.5900000000000002e-65,,,-1025.565372953556,-62.957880937266104
KCNN4,8.873961616,0.00581998,0.078992865,,,,-26020.270653604042,-61.41083487157924
TULP2,10.02556491,0.014899696,0.039744434,-2.16e-19,,0.0,7674.651640336973,-35.729020698525744
NUCB1,7.671661367,0.006477799,1.088290427,,,,9947.323407210213,-49.59295883794609
DHDH,2.038166014,0.001811609,0.0,-3.73e-13,,,1433.98960538471,-13.943746600340754
GYS1,1.152418964,0.000977712,0.044706383,-7.09e-37,,,-143.66350648764694,-29.53588264512996
MAP4K1,24.68957835,0.017904262,0.263102174,,,,-6943.03753528908,-46.2533387939109
ECH1,5.691270853,0.003847313,1.246132064,,,,1451.2625184880512,-48.17944399695458
HNRNPL,28.56390352,0.041724719,0.069806775,,-1.14e-17,,7216.039928210363,-58.263579629991035
NFKBIB,11.67933719,0.011651341,1.237468609,,,,-18242.272434163107,-75.14743555914832
LHB,0.534736774,0.001119959,0.0,-1.28e-10,,0.0,5371.256018514717,-6.368556446104851
TUBB4A,5.192792501,0.010568547,0.014591159,-1.6e-05,,0.0,-4708.3670892383125,-67.23039045380351
SARS2,2.642371048,0.001872856,0.060754142,,,,2177.4308686269947,-33.02664058040032
